箳	簈
胼	腁
迸	逬
併	倂
瓶	甁
研	硏
訮	詽
豜	豣
鈃	銒
妍	姸
軿	輧
駢	騈
餅	餠
屏	屛
帡	帲
值	値
惪	悳
真	眞
慎	愼
填	塡
槙	槇
鷏	鷆
鎮	鎭
顛	顚
巔	巓
既	旣
即	卽
唧	喞
塈	墍
暨	曁
概	槪
廄	廏
鄉	鄕
溉	漑
郎	郞
飲	飮
榆	楡
俞	兪
偷	偸
喻	喩
媮	婾
兑	兌
脱	脫
蜕	蛻
税	稅
涚	涗
捝	挩
悦	悅
敚	敓
棁	梲
鋭	銳
閲	閱
説	說
清	淸
青	靑
删	刪
册	冊
姗	姍
栅	柵
藴	蘊
緼	縕
媪	媼
温	溫
榅	榲
愠	慍
氲	氳
揾	搵
醖	醞
輼	轀
腽	膃
蒀	蒕
煴	熅
蕰	薀
鰛	鰮
刹	剎
弑	弒
内	內
呐	吶
兖	兗
滚	滾
#萒	𦳆
遥	遙
謡	謠
瑶	瑤
摇	搖
录	彔
剥	剝
渌	淥
禄	祿
奂	奐
㛟	𡞵
唤	喚
换	換
涣	渙
焕	煥
痪	瘓
黄	黃
横	橫
奥	奧
粤	粵
虚	虛
嘘	噓
戯	戱
秃	禿
告	吿
尚	尙
俱	倶
查	査
熙	煕
教	敎
緒	緖
縆	緪
嬷	嬤
芈	羋
别	別
争	爭
净	凈
浄	淨
挣	掙
狰	猙
峥	崢
静	靜
筝	箏
為	爲
偽	僞
媯	嬀
溈	潙
蒍	蔿
